source,target,weight
1428,400,1
1428,2628,1
1428,4707,1
1428,2833,1
1428,8668,1
1428,3540,1
1428,5918,1
1428,5116,1
1428,9848,1
1428,8534,1
1428,2530,1
1428,5252,1
1428,6578,1
1428,4479,1
1428,1942,1
1428,4065,1
1428,2989,1
1428,8787,1
1428,8560,1
1428,7402,1
1428,3027,1
1428,6006,1
1428,3429,1
1428,1754,1
1428,64,1
1428,598,1
1428,10285,1
1428,142,1
1428,8241,1
1428,1192,1
1428,3079,1
1428,139,1
1428,9578,1
1428,9805,1
1428,9947,1
1428,8215,1
1428,1213,1
1428,4060,1
1428,582,1
1428,3223,1
1428,1127,1
1428,9434,1
1428,10237,1
1428,3004,1
1428,7025,1
1428,2703,1
1428,1691,1
1428,8996,1
1428,269,1
1428,6480,1
1428,8684,1
1428,5603,1
1428,10002,1
1428,2763,1
3320,6196,1
3320,6948,1
3320,10031,1
3320,1170,1
3320,1837,1
3320,5926,1
3320,1317,1
3320,7169,1
3320,7767,1
3320,5550,1
3320,3763,1
3320,1722,1
3320,511,1
3320,5095,1
3320,7352,1
3320,4528,1
3320,5020,1
3320,10076,1
3320,3293,1
3320,10031,1
3320,8440,1
3320,10031,1
5626,6508,1
5626,2771,1
5626,6487,1
5626,1602,1
5626,3707,1
5626,8191,1
5626,9702,1
5626,3883,1
5626,1862,1
5626,8239,1
5626,5647,1
5626,3137,1
5626,7131,1
5626,4534,1
5626,6837,1
5626,2883,1
5626,5176,1
5626,7501,1
5626,2972,1
5626,8946,1
5626,480,1
5626,1225,1
5626,4726,1
5626,176,1
5626,8225,1
5626,5031,1
5626,2444,1
5626,3897,1
5626,2752,1
5626,970,1
3964,10206,1
3964,3868,1
3964,6645,1
3964,9736,1
3964,6155,1
3964,3645,1
3964,1842,1
3964,6581,1
3964,3776,1
3964,1405,1
3964,7219,1
3964,2341,1
3964,3231,1
3964,3024,1
3964,1392,1
3964,8882,1
3964,10252,1
3964,2331,1
3964,1392,1
3964,3019,1
3964,3645,1
3964,6645,1
3964,9002,1
5828,4466,1
5828,7433,1
5828,6634,1
5828,7572,1
5828,3343,1
5828,243,1
5828,7902,1
5828,6291,1
5828,6373,1
5828,7814,1
5828,8253,1
5828,2290,1
5828,8139,1
5828,4860,1
5828,1355,1
5828,8415,1
6615,7913,1
6615,5591,1
6615,2028,1
6615,9747,1
6615,10265,1
6615,5293,1
6615,6421,1
6615,3034,1
6615,3387,1
6615,2071,1
6615,496,1
6615,9425,1
6615,4037,1
6615,3872,1
6615,9927,1
6615,6859,1
6615,3182,1
6615,6180,1
6615,7700,1
6615,791,1
6615,2983,1
6615,6029,1
6615,7870,1
6615,2112,1
6615,2780,1
6615,6439,1
6615,9529,1
6615,7607,1
6615,5584,1
6615,6366,1
6615,6990,1
6615,5943,1
6615,1057,1
6615,765,1
6615,1969,1
6615,2241,1
6615,1319,1
6615,2321,1
6615,8515,1
6615,8732,1
6615,6004,1
6615,2300,1
6615,1729,1
6615,5014,1
6615,7647,1
6615,1192,1
6615,6402,1
6615,9595,1
6615,4417,1
6615,6635,1
6615,254,1
6615,5760,1
6615,9824,1
6615,5501,1
6615,2529,1
6615,7548,1
6615,6185,1
6615,6820,1
6615,854,1
6615,4387,1
6615,1107,1
6615,9336,1
6615,6351,1
6615,1267,1
6615,9495,1
6615,1130,1
6615,1024,1
6615,9122,1
6615,9308,1
6615,1393,1
6615,10159,1
6615,6011,1
6615,6624,1
6615,8246,1
6615,7102,1
6615,7601,1
6615,848,1
6615,193,1
6615,6439,1
6615,9664,1
6615,5089,1
6615,6467,1
6615,10107,1
6615,9800,1
6615,9927,1
6615,937,1
6615,5161,1
6615,6663,1
6615,6052,1
6615,1402,1
6615,4477,1
1667,267,1
1667,7506,1
1667,5591,1
1667,1400,1
1667,9233,1
1667,4330,1
1667,8182,1
1667,5146,1
1667,2436,1
1667,1727,1
1667,7081,1
1667,9914,1
2800,1404,1
2800,4419,1
2800,7648,1
2800,877,1
2800,8962,1
2800,9343,1
2800,6885,1
2800,1909,1
2800,2453,1
2800,7410,1
2800,5487,1
2800,4158,1
2800,3356,1
2800,4222,1
2800,7131,1
2800,2757,1
2800,8267,1
2800,1094,1
459,8404,1
459,6019,1
459,7773,1
459,8622,1
459,9689,1
459,1024,1
459,3605,1
459,9996,1
459,554,1
459,1440,1
459,5294,1
459,3112,1
459,1613,1
459,2129,1
459,4202,1
459,3437,1
459,5579,1
459,6007,1
459,3629,1
459,247,1
459,925,1
459,3091,1
459,2521,1
459,5091,1
459,6978,1
459,432,1
459,723,1
459,4272,1
459,5663,1
459,7415,1
459,1184,1
459,4850,1
459,7348,1
