,Id,Label,timeset,index,componentnumber,modularity_class,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,dg,closeness,between
48,48,wriggle,,48.0,0,13,8.2e-05,0.0,13,0,13,0.0,0.0,0.0,0.00125470514429109,0.28801287192781,0.00125470514429109
49,49,misty,,49.0,0,11,6.4e-05,5.6999999999999996e-05,26,33,59,0.258329,0.270196,4205.809389,0.00289547340990251,0.278104385594125,0.00289547340990251
50,50,ardency,,50.0,0,14,9e-06,0.0,6,0,6,0.0,0.0,0.0,0.000579094681980503,0.262969549357292,0.000579094681980503
51,51,rapacious,,51.0,0,14,0.000166,0.0,6,0,6,0.0,0.0,0.0,0.000482578901650419,0.254584073830718,0.000482578901650419
52,52,branch,,52.0,0,3,4.1e-05,2.8999999999999997e-05,12,17,29,0.256307,0.266987,28407.40924,0.00183379982627159,0.285639839528051,0.00183379982627159
53,53,suffer,,53.0,0,4,0.00010800000000000001,0.0,23,0,23,0.0,0.0,0.0,0.00193031560660167,0.29834300901151,0.00193031560660167
54,54,vestiary,,54.0,0,3,0.000102,0.000147,23,25,48,0.257777,0.268679,6.681466,0.00260592606891226,0.29268008714518,0.00260592606891226
55,55,ripped,,55.0,0,23,0.0005269999999999999,0.0,20,0,20,0.0,0.0,0.0,0.0017372840459415101,0.30817712364796,0.0017372840459415101
56,56,undercover,,56.0,0,24,2.6000000000000002e-05,0.0,11,0,11,0.0,0.0,0.0,0.000772126242640671,0.258514668970061,0.000772126242640671
57,57,tussle,,57.0,0,1,4.1e-05,1.7e-05,19,18,37,0.261092,0.273399,919.768855,0.00183379982627159,0.283702367597159,0.00183379982627159
58,58,dimension,,58.0,0,24,5.3e-05,0.0,8,0,8,0.0,0.0,0.0,0.000772126242640671,0.278832466493497,0.000772126242640671
59,59,protection,,59.0,0,19,4e-06,2e-05,9,15,24,0.232254,0.240479,0.0,0.00125470514429109,0.259527764364322,0.00125470514429109
60,60,simulated,,60.0,0,24,0.00015,0.000272,35,49,84,0.260191,0.272243,6028.700709,0.00376411543287327,0.281844815606345,0.00376411543287327
61,61,foundation,,61.0,0,4,8.4e-05,6.7e-05,11,15,26,0.260946,0.271229,912.144879,0.00154425248528134,0.283889470364941,0.00154425248528134
62,62,becloud,,62.0,0,1,2e-05,3.8e-05,20,25,45,0.255489,0.266363,769.309327,0.00202683138693176,0.278764752187009,0.00202683138693176
63,63,appearance,,63.0,0,3,0.00011899999999999999,0.00011999999999999999,13,17,30,0.271284,0.284435,4754.740901,0.00183379982627159,0.295526681047273,0.00183379982627159
64,64,highball,,64.0,0,6,0.000471,0.000509,50,53,103,0.301686,0.320331,0.0,0.00511533635749445,0.316262221148918,0.00511533635749445
65,65,drubbing,,65.0,0,25,0.000785,0.0013,43,79,122,0.280965,0.297697,14115.652537,0.00665958884277579,0.318034161927428,0.00665958884277579
66,66,worth,,66.0,0,18,0.002403,0.0,8,0,8,0.0,0.0,0.0,0.000675610462310587,0.284334830077904,0.000675610462310587
67,67,dome,,67.0,0,3,0.000264,0.0,6,0,6,0.0,0.0,0.0,0.000579094681980503,0.292829413720254,0.000579094681980503
68,68,excruciate,,68.0,0,1,1.4000000000000001e-05,1.8e-05,12,13,25,0.243261,0.252061,0.0,0.00135122092462117,0.268701147421207,0.00135122092462117
69,69,unprocessed,,69.0,0,11,0.000178,0.000177,7,8,15,0.249428,0.259746,0.0,0.000772126242640671,0.266153692190091,0.000772126242640671
70,70,untoward,,70.0,0,10,0.00010400000000000001,0.000124,26,39,65,0.262759,0.275581,18567.414185,0.0034745680918830202,0.280925131639716,0.0034745680918830202
71,71,alarm,,71.0,0,1,8.4e-05,6.500000000000001e-05,29,51,80,0.277971,0.29287,46652.371192,0.00482578901650419,0.297775457313961,0.00482578901650419
72,72,tactics,,72.0,0,20,0.00031600000000000004,0.00025299999999999997,14,14,28,0.271155,0.283117,0.0,0.00144773670495125,0.28709244729889,0.00144773670495125
73,73,uno,,73.0,0,17,0.103344,0.0,106,0,106,0.0,0.0,0.0,0.00994112537399864,0.340732906202195,0.00994112537399864
74,74,cur,,74.0,0,13,0.000534,0.000393,50,51,101,0.280634,0.296124,6943.210451,0.00521185213782453,0.298386093523108,0.00521185213782453
75,75,embarrass,,75.0,0,1,2.7000000000000002e-05,0.0,7,0,7,0.0,0.0,0.0,0.000675610462310587,0.273800003075653,0.000675610462310587
76,76,excellence,,76.0,0,18,3.9e-05,0.0,7,0,7,0.0,0.0,0.0,0.000579094681980503,0.258832031769568,0.000579094681980503
77,77,rattle,,77.0,0,0,0.00010400000000000001,0.0,23,0,23,0.0,0.0,0.0,0.00212334716726184,0.294188618505298,0.00212334716726184
78,78,buckle,,78.0,0,20,6.2e-05,0.0,8,0,8,0.0,0.0,0.0,0.000772126242640671,0.293203397645823,0.000772126242640671
79,79,hull,,79.0,0,19,3.2e-05,5.2000000000000004e-05,15,21,36,0.260502,0.271604,3773.468841,0.00183379982627159,0.280406636703052,0.00183379982627159
80,80,vile,,80.0,0,11,0.002062,0.002262,28,43,71,0.291131,0.30762,13961.775655,0.00434321011485377,0.309237958454578,0.00434321011485377
81,81,farthermost,,81.0,0,17,3.3e-05,6.1e-05,7,9,16,0.219137,0.225738,0.0,0.000868642022970755,0.24714771694578,0.000868642022970755
82,82,equilibrium,,82.0,0,16,0.001273,0.0,9,0,9,0.0,0.0,0.0,0.000868642022970755,0.281384222144915,0.000868642022970755
83,83,probably,,83.0,0,21,7e-05,5.6999999999999996e-05,13,4,17,0.225743,0.233759,163.77019,0.00135122092462117,0.235873460947751,0.00135122092462117
84,84,rigidly,,84.0,0,8,7e-05,1.1e-05,10,2,12,0.224355,0.231571,11.973567,0.000965157803300839,0.249571728857363,0.000965157803300839
85,85,corruption,,85.0,0,22,2e-05,0.0,17,0,17,0.0,0.0,0.0,0.00164076826561142,0.259592977260863,0.00164076826561142
86,86,feed,,86.0,0,18,0.000265,0.00010800000000000001,26,26,52,0.272387,0.285591,32063.51289,0.00308850497056268,0.304372804079034,0.00308850497056268
87,87,bare,,87.0,0,5,0.00037400000000000004,0.0,49,0,49,0.0,0.0,0.0,0.00415017855419361,0.29365344123392,0.00415017855419361
88,88,fatigue,,88.0,0,6,0.000103,0.0,17,0,17,0.0,0.0,0.0,0.00154425248528134,0.296655325658307,0.00154425248528134
89,89,comment,,89.0,0,4,5.3e-05,0.0,8,0,8,0.0,0.0,0.0,0.000579094681980503,0.26059483695012,0.000579094681980503
90,90,wud,,90.0,0,10,0.000651,0.0,25,0,25,0.0,0.0,0.0,0.00241289450825209,0.287547921288426,0.00241289450825209
91,91,rakish,,91.0,0,11,3.8e-05,0.0,9,0,9,0.0,0.0,0.0,0.000868642022970755,0.264538491692074,0.000868642022970755
92,92,trim,,92.0,0,3,0.002157,0.00255,74,122,196,0.327518,0.350601,255599.734707,0.01158189363961,0.351013241235749,0.01158189363961
93,93,trading,,93.0,0,14,2e-06,9e-06,2,3,5,0.218488,0.224899,0.0,0.000289547340990251,0.241052352327466,0.000289547340990251
94,94,drape,,94.0,0,3,0.000195,0.00031,14,23,37,0.278916,0.293506,308.29524,0.00270244184924235,0.314787827662347,0.00270244184924235
95,95,picky,,95.0,0,10,0.00013700000000000002,0.0,6,0,6,0.0,0.0,0.0,0.000482578901650419,0.269163194102719,0.000482578901650419
96,96,marked,,96.0,0,25,0.000263,0.001419,21,25,46,0.279814,0.29382,6365.628616,0.00250941028858218,0.304014528752003,0.00250941028858218
97,97,priceless,,97.0,0,18,0.000128,0.000109,12,14,26,0.253549,0.263372,0.0,0.00135122092462117,0.266119412587274,0.00135122092462117
98,98,heap,,98.0,0,3,0.000762,0.0,76,0,76,0.0,0.0,0.0,0.00665958884277579,0.315972036825623,0.00665958884277579
99,99,deep-pocketed,,99.0,0,6,7.2e-05,0.00011599999999999999,11,15,26,0.241854,0.250264,0.0,0.00144773670495125,0.264152945948621,0.00144773670495125
100,100,mantle,,100.0,0,19,0.000152,8.6e-05,33,41,74,0.272314,0.284718,11499.360323,0.00395714699353344,0.30031166873203,0.00395714699353344
101,101,scamp,,101.0,0,13,0.000462,0.0,15,0,15,0.0,0.0,0.0,0.00125470514429109,0.299233069255628,0.00125470514429109
102,102,mint,,102.0,0,3,7.3e-05,0.000336,10,34,44,0.30022,0.317598,39294.103934,0.00328153653122285,0.318907909123339,0.00328153653122285
103,103,middling,,103.0,0,3,0.001314,0.0,10,0,10,0.0,0.0,0.0,0.000868642022970755,0.28360112320332,0.000868642022970755
104,104,washed,,104.0,0,9,4.2e-05,0.0,8,0,8,0.0,0.0,0.0,0.000675610462310587,0.273314683352749,0.000675610462310587
105,105,cornerstone,,105.0,0,4,6.9e-05,6.6e-05,10,12,22,0.260926,0.271082,0.0,0.001158189363961,0.280574175499051,0.001158189363961
106,106,appreciation,,106.0,0,19,1.9e-05,2.8000000000000003e-05,10,14,24,0.256153,0.268179,2168.833431,0.00135122092462117,0.275655630397848,0.00135122092462117
107,107,itches,,107.0,0,7,1.9e-05,0.0,10,0,10,0.0,0.0,0.0,0.000965157803300839,0.250200327336479,0.000965157803300839
108,108,potentate,,108.0,0,15,0.000256,6.7e-05,20,4,24,0.222809,0.229762,0.0,0.00193031560660167,0.243254573017437,0.00193031560660167
109,109,indisputably,,109.0,0,21,0.0005200000000000001,0.000478,21,22,43,0.248431,0.259014,154.116329,0.00221986294759193,0.26789289793721,0.00221986294759193
110,110,evolved,,110.0,0,23,0.000157,0.000197,9,14,23,0.271895,0.283058,5431.270118,0.00125470514429109,0.288205705407871,0.00125470514429109
111,111,trunk,,111.0,0,19,5e-06,2.1e-05,6,7,13,0.234185,0.242252,1.035659,0.000772126242640671,0.263344932858796,0.000772126242640671
112,112,brutally,,112.0,0,8,0.000269,0.0,7,0,7,0.0,0.0,0.0,0.000675610462310587,0.282021776480961,0.000675610462310587
